,t_stat,p_val
"[1,114]",-0.06202474234531825,0.950547075963056
"[1,115]",2.0499098437030265,0.040456112995408404
"[1,116]",1.0121958279941103,0.31152241907240824
"[1,117]",1.3362410575813441,0.1815673193948379
"[1,118]",-0.33529356293970236,0.7374260472715046
"[1,119]",-2.3102479821930304,0.020938956896586876
"[1,120]",0.03816135473647002,0.9695614587886472
"[1,121]",1.9270108951730915,0.05406840048147396
"[1,122]",-2.22612310746116,0.026076647497764123
"[1,123]",-2.286604648595509,0.022285185347831665
"[1,124]",-5.755148064013265,9.489999139231579e-09
"[1,125]",-5.168753370884368,2.50403707338745e-07
"[1,126]",-6.865512874613883,7.951919664959838e-12
"[1,127]",-0.003852889490842228,0.9969260913167366
"[1,128]",-0.7955242043533276,0.42636876827592596
"[1,129]",-3.029202190801655,0.0024719693639610966
"[1,130]",-5.50824218898654,3.916675660022867e-08
"[1,131]",-9.742420112823297,4.075073835801546e-22
"[1,132]",-10.77507524249648,1.3102148024048096e-26
"[1,133]",-1.829261453356476,0.06745523467101813
"[1,134]",-2.6043236630355624,0.009248967803224404
"[1,135]",1.4589659903689838,0.14467449092473633
"[1,136]",-2.125785819863326,0.033598929533579285
"[1,137]",7.993488931802239,1.8258702673077915e-15
"[1,138]",5.8640864801880275,4.985338142649156e-09
"[1,139]",-1.1540441461723856,0.24856989774829846
"[1,140]",-0.8880885440066383,0.3745611463111841
"[1,141]",4.519549832576167,6.425965218723139e-06
"[1,142]",-0.20712368909547604,0.8359266924184754
"[1,143]",3.278310577415741,0.0010556854971077588
"[1,144]",-0.03631685587911486,0.9710320182441088
"[1,145]",-5.824716723835016,6.299279760178933e-09
"[1,146]",-5.670508913324574,1.552829037578485e-08
"[1,147]",2.2862559450234152,0.022305590986085432
"[1,148]",0.8611900508538262,0.3891991342766491
"[1,149]",-5.555403873175368,3.000895707086192e-08
"[1,150]",-6.568223484767242,5.93726874788888e-11
"[1,151]",2.788724137565638,0.005323495604206354
"[1,152]",0.7359153373890318,0.4618371912324003
"[1,153]",4.772707886927842,1.9006851440999649e-06
"[1,154]",2.1398322415150046,0.03244518737179637
"[1,155]",-4.583891035635391,4.7420868139185134e-06
"[1,156]",-4.216631880029069,2.549799235613262e-05
"[1,157]",-4.071154536644091,4.7934948133891195e-05
"[1,158]",-4.018009801063482,6.0068868338765104e-05
"[1,159]",-5.482161507921176,4.5340954371884966e-08
"[1,160]",-5.0484640164951236,4.707568962648776e-07
"[1,161]",-9.542998475734352,2.690218503655596e-21
"[1,162]",-9.82750748205175,1.801613454991664e-22
"[1,163]",-7.313436882846705,3.289120403882975e-13
"[1,164]",-7.056022854854322,2.0991780204324916e-12
"[1,165]",-6.811778453199201,1.1506690763107215e-11
"[1,166]",-4.952109402456716,7.729036646908112e-07
"[1,167]",-4.295696173566087,1.7942793979106547e-05
"[1,168]",-1.6189008539555207,0.10556902530748916
"[1,169]",-4.67597704069905,3.048924953173246e-06
"[1,170]",-4.97743778015609,6.790335871814944e-07
"[1,171]",-5.485541421262632,4.449053790015069e-08
"[1,172]",-4.799849836577983,1.6620114636432797e-06
"[1,173]",-4.5220291509891455,6.351619376708195e-06
"[1,174]",-6.689611497358089,2.638937509606952e-11
"[1,175]",6.587760454226399,5.2157139872745004e-11
"[1,176]",4.368496680056153,1.291538275756454e-05
"[1,177]",2.334680692705132,0.019622826193634278
"[1,178]",-4.461115516060713,8.439650794990585e-06
"[1,179]",-0.07665532880570383,0.9389026260161873
"[1,180]",-3.618778696160376,0.000300664969615792
"[1,181]",1.4451208631923855,0.14852372553522458
"[1,182]",0.06271397429364427,0.949998261032203
"[1,183]",-3.5223381608846442,0.0004338529525630511
"[1,184]",-4.972983740434402,6.947029920204733e-07
"[1,185]",-2.8313928824862433,0.004664077431662797
"[1,186]",-3.7211844137572574,0.00020176538006339714
"[1,187]",0.20221109393106437,0.8397648003296857
"[1,188]",-0.05362664468990244,0.9572360390884125
"[1,189]",1.564961957117727,0.11769259758660532
"[1,190]",1.742481762755213,0.08152208065861498
"[1,191]",0.7793212207963837,0.43584924774238853
"[1,192]",0.7947007615089069,0.42684764939869024
"[1,193]",2.050277406288622,0.04042022807906193
"[1,194]",1.5044799100460544,0.13255841593789333
"[1,195]",-1.652656206367396,0.09850082658142041
"[1,196]",-1.3041065244390129,0.19229285226874043
"[1,197]",-0.8060096355661508,0.42029832891723484
"[1,198]",-0.5341370364617986,0.5932845396263493
"[1,199]",-1.4344238737054844,0.15155091994317144
"[1,200]",-0.9006993346045188,0.36781727682047005
"[1,201]",-2.4792835955202284,0.013216771237006118
"[1,202]",-2.5994328045729596,0.009381515096960839
"[1,203]",3.672574387828103,0.0002441230464474498
"[1,204]",4.638244154897769,3.6573551738289897e-06
"[1,205]",0.998457823434928,0.3181343421929266
"[1,206]",-0.4753572969123481,0.6345653906015705
"[1,207]",-1.2639896007135074,0.2063275830006933
